"","x8dccsscr","x8nrsscr","x8flanker"
"227",NA,NA,NA
"228",7.1864,63,7.0657
"229",6.4947,79,6.5459
"230",9.63929999999999,119,9.23799999999999
"231",7.671,90,7.0872
"232",6.135,96,6.9102
"233",7.4993,76,5.5961
"234",4,96,5.6308
"235",7.89,97,8.0546
"236",7.1386,114,7.9058
"237",7.175,111,7.3682
"238",7.9547,97,5.4214
"239",7.7333,133,8.1193
"240",7.6824,113,7.8979
"241",8.5565,108,9.073
"242",7.6773,51,8.4544
"243",7.5447,90,7.9005
"244",NA,NA,NA
"245",7.2973,81,7.6015
"246",3.875,59,8.1328
"247",6.7449,96,7.747
"248",7.3281,101,7.8304
"249",8.5623,109,9.0333
"250",NA,NA,NA
"251",8.842,84,8.7866
"252",8.5656,99,8.0329
"253",7.1787,100,7.9007
"254",8.2644,84,8.7734
"255",NA,NA,NA
"256",7.1109,79,7.6181
"257",8.4067,122,8.6919
"258",NA,NA,NA
"259",NA,NA,NA
"260",7.6322,106,8.5225
"261",3.625,111,8.24729999999999
"262",7.8046,106,8.713
"263",8.20889999999999,116,8.3536
"264",8.9211,93,9.3728
"265",8.4479,97,8.5689
"266",6.9213,126,8.0882
"267",NA,NA,NA
"268",NA,NA,NA
"269",6.8112,91,8.2984
"270",7.0833,89,7.2778
"271",NA,NA,NA
"272",7.1564,94,7.8458
"273",7.7371,102,8.27129999999999
"274",NA,NA,NA
"275",NA,NA,NA
"276",8.3975,107,8.0187
"277",6.7299,94,6.8482
"278",NA,NA,NA
"279",7.412,107,9.14189999999999
"280",7.054,100,7.7395
"281",8.3519,105,8.5291
"282",6.775,105,5.5648
"283",7.4931,109,8.7519
"284",8.6916,104,9.406
"285",6.1765,91,4.875
"286",8.5288,106,8.6195
"287",7.4973,109,8.9866
"288",8.0424,75,8.1738
"289",8.0474,90,8.8426
"290",7.3314,89,7.9005
"291",9.3863,117,8.8389
"292",7.8815,108,7.9589
"293",7.2821,86,8.8352
"294",NA,NA,NA
"295",7.3,101,8.0966
"296",6.9511,84,5.3096
"297",NA,NA,NA
"298",NA,NA,NA
"299",7.9379,100,8.2414
"300",6.2224,69,7.3995
"301",7.2366,97,8.4964
"302",5.3883,83,7.9447
"303",7.642,110,8.2863
"304",7.6396,104,7.7321
"305",NA,NA,NA
"306",NA,NA,NA
"307",7.2532,106,7.6757
"308",NA,NA,NA
"309",6.3317,76,8.2503
"310",NA,NA,NA
"311",7.8253,116,6.9492
"312",8.2325,151,8.20889999999999
"313",9.2168,103,8.0242
"314",NA,NA,NA
"315",6.8186,97,7.3443
"316",7.043,115,7.4453
"317",NA,NA,NA
"318",NA,NA,NA
"319",7.5371,137,7.8665
"320",NA,NA,NA
"321",NA,NA,NA
"322",6.4338,86,7.9269
"323",7.5813,89,9.255
"324",NA,NA,NA
"325",7.8855,76,8.8872
"326",7.7797,79,8.0853
"327",3.375,89,8.1594
"328",8.3042,99,9.3639
"329",NA,NA,NA
"330",NA,NA,NA
"331",6.9669,64,7.5131
"332",NA,NA,NA
"333",NA,NA,NA
"334",8.7158,102,8.2652
"335",7.5625,85,2.5
"336",7.8952,86,8.4479
"337",8.78419999999999,106,8.5423
"338",NA,NA,NA
"339",NA,NA,NA
"340",NA,NA,NA
"341",7.585,100,7.9376
"342",NA,NA,NA
"343",7.777,107,7.5686
"344",8.2803,111,7.8304
"345",7.34,98,7.5599
"346",NA,NA,NA
"347",7.2645,78,8.1594
"348",8.1082,86,7.748
"349",NA,NA,NA
"350",7.5124,89,7.7321
"351",5.9291,80,7.8074
"352",8.3189,86,8.2924
"353",NA,NA,NA
"354",7.4887,89,8.671
"355",8.3075,99,7.6564
"356",NA,NA,NA
"357",7.7797,109,8.7591
"358",8.73799999999999,80,8.27129999999999
"359",7.4789,120,8.74119999999999
"360",7.8979,97,8.579
"361",8.4384,95,6.5249
"362",NA,NA,NA
"363",NA,NA,NA
"364",8.8096,92,7.6181
"365",NA,NA,NA
"366",7.504,92,7.9268
"367",NA,NA,NA
"368",8.3878,92,6.4131
"369",7.7972,105,7.1811
"370",NA,NA,NA
"371",NA,NA,NA
"372",NA,NA,NA
"373",NA,NA,NA
"374",9.3187,94,8.2221
"375",NA,NA,NA
"376",8.1738,71,7.89
"377",7.2936,97,7.9968
"378",7.4252,95,7.2995
"379",8.1364,99,9.2168
"380",7.086,100,7.9643
"381",7.1219,93,7.1388
"382",4,44,4.25
"383",7.1841,110,8.1136
"384",7.7333,103,8.8611
"385",NA,NA,NA
"386",NA,NA,NA
"387",NA,NA,NA
"388",8.01,78,8.0242
"389",NA,NA,NA
"390",NA,NA,NA
"391",7.2118,95,8.2563
"392",NA,NA,NA
"393",NA,NA,NA
"394",9.0611,122,8.5589
"395",NA,NA,NA
"396",7.9366,93,6.859
"397",NA,NA,NA
"398",7.9243,100,8.5193
"399",NA,NA,NA
"400",NA,NA,NA
"401",8.23409999999999,69,6.0185
"402",NA,NA,NA
"403",7.8664,85,7.7922
"404",8.8723,109,7.8227
"405",NA,NA,NA
"406",8.2399,84,8.21479999999999
"407",NA,NA,NA
"408",NA,NA,NA
"409",NA,NA,NA
"410",7.1755,114,8.27729999999999
"411",7.1193,100,7.5014
"412",7.5122,108,8.4996
"413",NA,NA,NA
"414",7.3037,118,7.8665
"415",8.1421,93,7.366
"416",8.3972,149,8.0023
"417",NA,NA,NA
"418",8.4456,104,7.1934
"419",7.8717,110,8.8023
"420",7.9185,90,7.7296
"421",NA,NA,NA
"422",8.0789,107,8.2236
"423",7.7208,109,7.6733
"424",6.9849,113,6.4301
"425",8.0751,107,9.1916
"426",NA,NA,NA
"427",NA,NA,NA
"428",7.1957,91,5.809
"429",7.931,93,8.0518
"430",NA,NA,NA
"431",NA,NA,NA
"432",8.2593,102,8.3045
"433",7.166,115,7.5154
"434",8.2236,114,8.3815
"435",8.5258,91,8.0853
"436",NA,NA,NA
"437",7.1629,127,7.3165
"438",NA,NA,NA
"439",7.4019,94,8.4256
"440",5.4328,84,7.6713
"441",7.7001,107,5
"442",8.3422,101,8.8304
"443",NA,NA,NA
"444",7.911,99,8.4004
"445",NA,NA,NA
"446",NA,NA,NA
"447",7.3996,81,7.5085
"448",8.0741,91,7.6181
"449",2.75,80,7.6181
"450",NA,NA,NA
"451",NA,NA,NA
"452",NA,NA,NA
"453",8.4674,100,8.6434
"454",6.6767,51,4.125
"455",7.1548,93,7.7247
"456",8.2529,114,9.5193
"457",NA,NA,NA
"458",7.9869,107,8.8909
"459",NA,NA,NA
"460",NA,NA,NA
"461",7.611,89,6.8286
"462",8.0229,105,7.5897
"463",7.8313,92,7.8176
"464",7.4424,95,8.72709999999999
"465",7.8233,102,7.6976
"466",8.6723,121,9.027
"467",7.0715,90,8.6127
"468",NA,NA,NA
"469",NA,NA,NA
"470",NA,NA,NA
"471",NA,NA,NA
"472",7.7445,102,8.2833
"473",8.5451,60,8.3722
"474",9.1093,114,8.5324
"475",NA,NA,NA
"476",8.6502,88,9.2679
"477",6.8803,108,6.9849
"478",3.875,72,4.8663
"479",7.6139,94,7.6852
"480",8.5374,104,8.6676
"481",NA,NA,NA
"482",NA,NA,NA
"483",7.0629,125,8.713
"484",6.8678,70,7.5523
"485",7.6519,94,8.1393
"486",8.3722,91,8.0105
"487",7.3608,83,9.0851
"488",7.8299,102,7.8639
"489",7.3966,99,8.1221
"490",9.654,109,9.2548
"491",8.23789999999999,86,8.8872
"492",NA,NA,NA
"493",7.2358,90,7.2221
"494",7.327,109,8.4067
"495",7.2634,102,7.777
"496",8.5198,99,7.7074
"497",7.8227,102,7.4881
"498",NA,NA,NA
"499",8.2769,109,8.7915
"500",9.2505,137,8.8206
"501",NA,NA,NA
"502",7.5947,85,6.4301
"503",7.7757,123,8.948
"504",8.2354,121,8.7235
"505",7.7174,96,8.7915
"506",NA,NA,NA
"507",8.1795,94,8.332
"508",7.6205,98,8.713
"509",7.5154,109,8.72
"510",8.1623,85,8.539
"511",8.7591,79,8.4193
"512",7.2954,99,7.103
"513",NA,NA,NA
"514",7.1153,106,8.0574
"515",7.5459,90,7.9941
"516",NA,NA,NA
"517",7.7003,92,7.3747
"518",7.7714,103,8.7716
"519",8.1104,109,8.1709
"520",2.125,45,3.625
"521",8.2059,103,8.2295
"522",NA,NA,NA
"523",8.2131,103,9.3709
"524",NA,NA,NA
"525",7.5663,119,8.1221
"526",8.1051,73,8.4035
"527",7.762,86,8.091
"528",7.3881,110,8.0713
"529",7.2861,84,9.2124
"530",NA,NA,NA
"531",5.4634,95,6.9567
"532",7.4098,111,7.5223
"533",6.2023,117,8.2833
"534",7.173,83,7.099
"535",7.7896,105,9.4133
"536",NA,NA,NA
"537",7.5733,105,8.7519
"538",7.6876,96,8.0602
"539",6.5475,106,7.7025
"540",6.1451,94,9.0611
"541",8.3259,112,8.2503
"542",NA,NA,NA
"543",6.6848,92,8.6846
"544",8.0297,120,7.9968
"545",NA,NA,NA
"546",2.625,98,7.0258
"547",NA,NA,NA
"548",NA,NA,NA
"549",NA,NA,NA
"550",NA,NA,NA
"551",8.9863,117,8.4931
"552",NA,NA,NA
"553",7.5702,110,8.1536
"554",7.5158,78,7.7395
"555",8.4996,89,6.5621
"556",NA,NA,NA
"557",8.1767,98,6.5129
"558",6.3205,108,7.1488
"559",8.3197,96,8.049
"560",NA,NA,NA
"561",7.6564,85,8.6849
"562",9.875,126,9.6688
"563",NA,NA,NA
"564",8.623,102,9.6602
"565",NA,NA,NA
"566",NA,NA,NA
"567",NA,NA,NA
"568",NA,NA,NA
